region,region,classification,country,city,pm10,pm25
Emr LMI,Emr,LMI,Afghanistan,Kabul,260,86
Emr LMI,Emr,LMI,Afghanistan,Mazar-e Sharif,334,68
Eur LMI,Eur,LMI,Albania,Tirana,31.61542142,16.06236628
Eur HI,Eur,HI,Andorra,Escaldes-Engordany,18,11
Amr HI,Amr,HI,Argentina,Buenos Aires,26.15166667,14.15959305
Wpr HI,Wpr,HI,Australia,Adelaide,16.65714286,7.1
Wpr HI,Wpr,HI,Australia,Albany,15.999,6.863598056
Wpr HI,Wpr,HI,Australia,Albury,15.9,6.821126888
Wpr HI,Wpr,HI,Australia,Ayr,19.9,8.537133653
Wpr HI,Wpr,HI,Australia,Bathurst,14.6,6.26342469
Wpr HI,Wpr,HI,Australia,Brisbane,15.8375,5.725
Wpr HI,Wpr,HI,Australia,Bunbury,16.1,7.778
Wpr HI,Wpr,HI,Australia,Busselton,16.78315062,7.2
Wpr HI,Wpr,HI,Australia,Canberra,15.85075337,6.8
Wpr HI,Wpr,HI,Australia,Central Coast,12.82046228,5.5
Wpr HI,Wpr,HI,Australia,Collie,19.2,8.236832469
Wpr HI,Wpr,HI,Australia,Darwin,18.88104445,8.1
Wpr HI,Wpr,HI,Australia,"Devonport, Tasmania",14.91835611,6.4
Wpr HI,Wpr,HI,Australia,Geelong,17.5,7.507529594
Wpr HI,Wpr,HI,Australia,Geraldton,22.3,9.566737711
Wpr HI,Wpr,HI,Australia,Gladstone,14.025,4.95
Wpr HI,Wpr,HI,Australia,"Hobart, Tasmania",14.21905817,6.1
Wpr HI,Wpr,HI,Australia,La Trobe Valley,19.95,9.8
Wpr HI,Wpr,HI,Australia,"Launceston, Tasmania",18.88104445,8.1
Wpr HI,Wpr,HI,Australia,Lower Hunter,17.32704902,7.433333333
Wpr HI,Wpr,HI,Australia,Mackay,17.2,7.378829087
Wpr HI,Wpr,HI,Australia,Melbourne,18.75,7.7
Wpr HI,Wpr,HI,Australia,Moranbah,20.5,8.794534668
Wpr HI,Wpr,HI,Australia,Mount Isa,15.7,6.73532655
Wpr HI,Wpr,HI,Australia,Muswellbrook,21.4,9.180636189
Wpr HI,Wpr,HI,Australia,Newcastle,19.23333333,8.251132525
Wpr HI,Wpr,HI,Australia,Palmerston,21.56168657,9.25
Wpr HI,Wpr,HI,Australia,Perth,16.76666667,7.95
Wpr HI,Wpr,HI,Australia,Singleton,21,9.009035513
Wpr HI,Wpr,HI,Australia,Sydney,16.56,7.68
Wpr HI,Wpr,HI,Australia,Tamworth,15.8,6.778226719
Wpr HI,Wpr,HI,Australia,Townsville,16.75,7.185778326
Wpr HI,Wpr,HI,Australia,Upper Hunter,19.65804217,8.433333333
Wpr HI,Wpr,HI,Australia,Wagga Wagga,20.7,7.5
Wpr HI,Wpr,HI,Australia,Whyalla,16.3,6.992727565
Wpr HI,Wpr,HI,Australia,Wollongong,17.06666667,7
Wpr HI,Wpr,HI,Australia,Wyong,15.1,6.477925536
Eur HI,Eur,HI,Austria,ARNOLDSTEIN,14.17572947,10.39078752
Eur HI,Eur,HI,Austria,BAD ISCHL,15.86903736,11.63197956
Eur HI,Eur,HI,Austria,BAD VöSLAU,18.07442396,13.24852448
Eur HI,Eur,HI,Austria,BIEDERMANNSDORF,20.23320746,14.83090941
Eur HI,Eur,HI,Austria,BLUDENZ,17.55710306,12.86932907
Eur HI,Eur,HI,Austria,BRUCK AN DER MUR,23.89818818,17.51733455
Eur HI,Eur,HI,Austria,DEUTSCHLANDSBERG,22.30692307,16.35093971
Eur HI,Eur,HI,Austria,DORNBIRN,19.00826446,13.93302811
Eur HI,Eur,HI,Austria,EBENTHAL,20.39641161,14.9505378
Eur HI,Eur,HI,Austria,EISENSTADT,23.54172307,18.83130169
Eur HI,Eur,HI,Austria,FELDKIRCH,23.1436464,16.9642566
Eur HI,Eur,HI,Austria,FüRSTENFELD,25.75818328,18.88070804
Eur HI,Eur,HI,Austria,Gänserndorf,20.6409419,15.12977812
Eur HI,Eur,HI,Austria,GRAZ,24.82422541,18.79859978
Eur HI,Eur,HI,Austria,GROSSENZERSDORF,23.98782259,17.58303643
Eur HI,Eur,HI,Austria,HALL IN TIROL,24.23667582,17.76544546
Eur HI,Eur,HI,Austria,HALLEIN,24.05248618,17.63043474
Eur HI,Eur,HI,Austria,HARTBERG,23.57063339,17.2772374
Eur HI,Eur,HI,Austria,HEITERWANG,13.02213213,9.545202477
Eur HI,Eur,HI,Austria,HIMBERG,23.43267223,17.17611208
Eur HI,Eur,HI,Austria,HöCHST,21.33149171,15.63595005
Eur HI,Eur,HI,Austria,IMST,18.13013151,13.28935803
Eur HI,Eur,HI,Austria,INNSBRUCK,20.58843077,14.42780821
Eur HI,Eur,HI,Austria,JUDENBURG,17.11141254,12.54263862
Eur HI,Eur,HI,Austria,KAPFENBERG,17.61163382,12.90930004
Eur HI,Eur,HI,Austria,KEMATEN,20.31965684,14.89427667
Eur HI,Eur,HI,Austria,KLAGENFURT,23.02879097,13.78368583
Eur HI,Eur,HI,Austria,KLOSTERNEUBURG,26.82380952,19.66181041
Eur HI,Eur,HI,Austria,KNITTELFELD,21.34033627,15.6424331
Eur HI,Eur,HI,Austria,KREMS,23.64537015,17.33201933
Eur HI,Eur,HI,Austria,KUFSTEIN,17.43291355,12.77829836
