"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MH_18","PUBLISHED","2009","EUR","WB_LMI","ARM","125","125.00000","","",""
"MH_18","PUBLISHED","2009","EUR","WB_HI","AUT","1653","1653.00000","","",""
"MH_18","PUBLISHED","2009","EUR","WB_UMI","BGR","506","506.00000","","",""
"MH_18","PUBLISHED","2008","AFR","WB_LI","BFA","7","7.00000","","",""
"MH_18","PUBLISHED","2009","AFR","WB_LI","CAF","1","1.00000","","",""
"MH_18","PUBLISHED","2010","AFR","WB_LI","TCD","1","1.00000","","",""
"MH_18","PUBLISHED","2009","AMR","WB_UMI","CHL","1000","1000.00000","","",""
"MH_18","PUBLISHED","2009","AFR","WB_LI","COM","1","1.00000","","",""
"MH_18","PUBLISHED","2008","EUR","WB_HI","CZE","1234","1234.00000","","",""
"MH_18","PUBLISHED","2010","EMR","WB_LMI","EGY","457","457.00000","","",""
"MH_18","PUBLISHED","2008","AFR","WB_UMI","GAB","4","4.00000","","",""
"MH_18","PUBLISHED","2009","AFR","WB_LI","GMB","3","3.00000","","",""
"MH_18","PUBLISHED","2007","AMR","WB_LMI","HND","59","59.00000","","",""
"MH_18","PUBLISHED","2010","EUR","WB_HI","ISR","600","600.00000","","",""
"MH_18","PUBLISHED","2009","AMR","WB_UMI","JAM","30","30.00000","","",""
"MH_18","PUBLISHED","2009","AFR","WB_LI","MWI","2","2.00000","","",""
"MH_18","PUBLISHED","2007","WPR","WB_LMI","FSM","1","1.00000","","",""
"MH_18","PUBLISHED","2009","WPR","WB_LMI","MNG","14","14.00000","","",""
"MH_18","PUBLISHED","2010","WPR","","NRU","0","0.00000","","",""
"MH_18","PUBLISHED","2008","EUR","WB_HI","NLD","3126","3126.00000","","",""
"MH_18","PUBLISHED","2009","EMR","WB_LMI","PAK","342","342.00000","","",""
"MH_18","PUBLISHED","2010","EMR","WB_HI","QAT","25","25.00000","","",""
"MH_18","PUBLISHED","2010","EUR","WB_LMI","MDA","180","180.00000","","",""
"MH_18","PUBLISHED","2008","AFR","WB_LI","SLE","1","1.00000","","",""
"MH_18","PUBLISHED","2008","EUR","WB_HI","SVK","621","621.00000","","",""
"MH_18","PUBLISHED","2010","EMR","WB_LMI","SDN","28","28.00000","","",""
